iter	RMSE
0	111680.0809
1	108656.3008
2	105772.2055
3	102916.2819
4	100346.0739
5	97959.26478
6	95745.55655
7	93684.50573
8	91822.04805
9	90029.93129
10	88263.4353
11	86741.93533
12	85113.06322
13	83679.7452
14	82361.20607
15	81205.56203
16	80095.95195
17	79020.93676
18	77938.57365
19	77013.8602
20	76134.58447
21	75325.52905
22	74580.62681
23	73824.68002
24	73119.44112
25	72504.95504
26	71824.94114
27	71180.79556
28	70656.76093
29	70145.63213
30	69683.84924
31	69180.09713
32	68739.58686
33	68318.72495
34	67932.41031
35	67560.73626
36	67196.8242
37	66871.45797
38	66548.01102
39	66187.8898
40	65863.06995
41	65607.36518
42	65324.70267
43	65045.81465
44	64814.69341
45	64563.83065
46	64175.69917
47	63984.59551
48	63775.39918
49	63608.81326
50	63423.95235
51	63080.64495
52	62892.61514
53	62731.84589
54	62521.14201
55	62313.09461
56	62164.96818
57	61964.98897
58	61786.19015
59	61525.00359
60	61299.76388
61	61169.549
62	61052.74497
63	60911.99868
64	60738.64135
65	60630.60683
66	60479.13215
67	60357.56212
68	60226.33323
69	60108.40526
70	60014.57281
71	59884.52806
72	59730.19978
73	59518.19476
74	59366.4692
75	59207.2394
76	58956.64204
77	58827.62073
78	58736.75771
79	58517.92435
80	58368.94228
81	58243.16858
82	58151.44544
83	58046.97693
84	57947.26764
85	57848.09935
86	57726.34557
87	57621.59598
88	57517.33127
89	57396.57635
90	57330.36763
91	57230.83455
92	57089.82286
93	57029.23608
94	56963.81759
95	56868.58527
96	56759.74614
97	56638.06304
98	56567.25648
99	56484.94466
100	56343.3936
101	56290.4979
102	56175.13445
103	56132.36571
104	56025.02774
105	55954.18364
106	55885.82775
107	55819.00175
108	55732.56884
109	55649.68985
110	55565.18974
111	55432.21195
112	55358.98361
113	55292.13047
114	55216.83851
115	55160.13594
116	55064.83695
117	54983.58924
118	54894.24685
119	54832.81184
120	54737.9641
121	54660.2598
122	54594.78567
123	54533.2389
124	54483.53235
125	54422.74265
126	54367.1877
127	54327.76887
128	54288.64017
129	54169.46018
130	54109.64703
131	54026.69682
132	53980.27763
133	53923.50178
134	53820.0412
135	53747.84166
136	53714.85546
137	53639.03358
138	53580.86554
139	53532.9205
140	53468.74063
141	53422.70565
142	53379.28418
143	53312.60686
144	53259.4256
145	53195.9618
146	53157.35502
147	53077.12594
148	52995.35065
149	52943.64213
150	52892.83111
151	52840.96111
152	52803.58619
153	52766.60309
154	52731.56116
155	52689.86652
156	52651.00968
157	52614.05426
158	52566.83675
159	52464.14322
160	52422.64268
161	52377.55285
162	52316.29497
163	52287.79361
164	52257.8991
165	52201.15236
166	52160.33549
167	52124.84303
168	52099.88037
169	52064.68111
170	52031.82195
171	52001.81217
172	51965.09971
173	51905.1966
174	51873.76873
175	51795.64494
176	51734.29406
177	51670.69696
178	51632.6557
179	51597.31559
180	51556.72756
181	51492.51033
182	51458.5359
183	51408.84848
184	51370.86607
185	51285.42799
186	51248.28353
187	51207.81236
188	51158.66539
189	51106.02044
190	51021.20926
191	51002.07669
192	50961.05189
193	50886.4024
194	50846.72561
195	50803.64235
196	50741.89933
197	50712.13624
198	50663.0898
199	50625.9785
200	50593.51388
201	50526.7459
202	50489.09171
203	50457.0203
204	50406.19919
205	50359.98578
206	50325.95187
207	50276.93067
208	50235.86013
209	50205.66408
210	50181.08571
211	50160.71958
212	50122.46022
213	50097.96028
214	50064.59012
215	49999.63301
216	49963.63756
217	49932.63456
218	49891.64708
219	49860.7065
220	49828.16738
221	49777.34243
222	49716.56211
223	49687.93472
224	49637.98402
225	49612.72596
226	49562.94452
227	49531.93445
228	49495.24147
229	49426.44067
230	49399.4414
231	49365.52073
232	49336.44606
233	49298.08994
234	49268.85511
235	49241.93046
236	49201.05051
237	49146.01045
238	49098.03632
239	49071.9906
240	49045.112
241	48995.47105
242	48970.65996
243	48940.9617
244	48908.85594
245	48879.7694
246	48837.84522
247	48800.74415
248	48751.0341
249	48709.79444
250	48657.17703
251	48631.2009
252	48592.8738
253	48566.07112
254	48522.41453
255	48470.90579
256	48444.10684
257	48416.72188
258	48387.24242
259	48336.61686
260	48293.0365
261	48261.83633
262	48240.51146
263	48215.97789
264	48178.19147
265	48152.07675
266	48130.9626
267	48107.32659
268	48068.10945
269	48035.90522
270	47994.10212
271	47956.18998
272	47929.05697
273	47886.65998
274	47864.43101
275	47831.77962
276	47805.61152
277	47770.62335
278	47738.97933
279	47703.09084
280	47666.12583
281	47638.28714
282	47616.71
283	47579.0881
284	47539.95626
285	47509.74324
286	47476.11405
287	47453.0808
288	47428.73834
289	47403.0135
290	47379.65533
291	47330.89809
292	47302.34636
293	47253.00031
294	47237.75569
295	47206.51112
296	47190.28567
297	47153.11406
298	47114.73029
299	47091.28478
