iter	Passed	Remaining
0	49	14876
1	51	7728
2	53	5337
3	56	4160
4	58	3441
5	60	2954
6	62	2617
7	64	2356
8	66	2144
9	68	1983
10	70	1847
11	72	1735
12	74	1635
13	76	1558
14	78	1490
15	80	1426
16	82	1369
17	84	1318
18	86	1272
19	88	1241
20	90	1202
21	92	1169
22	94	1136
23	96	1108
24	100	1106
25	105	1109
26	110	1112
27	114	1116
28	119	1115
29	124	1116
30	127	1104
31	129	1083
32	137	1109
33	142	1111
34	144	1096
35	146	1077
36	148	1058
37	151	1043
38	153	1026
39	155	1010
40	157	993
41	159	979
42	161	965
43	166	967
44	172	976
45	174	963
46	176	952
47	179	942
48	181	931
49	184	921
50	186	908
51	188	897
52	190	885
53	191	874
54	193	863
55	195	852
56	197	841
57	199	830
58	200	819
59	202	810
60	204	801
61	206	791
62	207	782
63	209	772
64	211	763
65	212	754
66	214	745
67	216	737
68	217	729
69	219	721
70	221	712
71	222	705
72	224	698
73	226	690
74	227	683
75	229	676
76	231	669
77	232	662
78	234	655
79	235	648
80	237	642
81	239	635
82	240	629
83	242	623
84	243	617
85	246	612
86	247	606
87	249	600
88	251	595
89	252	589
90	254	583
91	255	578
92	257	573
93	259	567
94	260	562
95	262	557
96	264	553
97	265	548
98	267	543
99	269	538
100	271	533
101	272	529
102	274	524
103	275	519
104	277	515
105	279	511
106	281	507
107	282	502
108	284	499
109	286	494
110	288	490
111	289	486
112	291	482
113	293	478
114	295	474
115	296	470
116	298	466
117	299	462
118	301	458
119	303	455
120	305	451
121	306	447
122	308	443
123	309	439
124	311	436
125	313	432
126	314	428
127	316	425
128	318	421
129	319	418
130	321	414
131	322	410
132	325	408
133	326	405
134	328	401
135	330	398
136	331	394
137	333	391
138	335	388
139	337	385
140	338	382
141	340	379
142	342	375
143	344	373
144	346	370
145	348	367
146	350	364
147	352	361
148	353	358
149	355	355
150	357	352
151	359	350
152	361	347
153	362	344
154	364	341
155	366	338
156	368	335
157	369	332
158	371	329
159	373	326
160	374	323
161	376	320
162	378	317
163	379	314
164	381	312
165	383	309
166	384	306
167	386	303
168	388	300
169	390	298
170	391	295
171	393	292
172	395	290
173	397	287
174	399	285
175	400	282
176	402	279
177	404	277
178	405	274
179	407	271
180	409	269
181	410	266
182	412	263
183	414	261
184	415	258
185	417	255
186	419	253
187	420	250
188	422	248
189	423	245
190	425	242
191	427	240
192	429	237
193	430	235
194	432	232
195	434	230
196	435	227
197	437	225
198	439	222
199	440	220
200	442	217
201	443	215
202	445	212
203	447	210
204	448	208
205	450	205
206	452	203
207	453	200
208	455	198
209	457	195
210	459	193
211	460	191
212	462	188
213	464	186
214	465	184
215	467	181
216	468	179
217	470	177
218	472	174
219	474	172
220	476	170
221	477	167
222	479	165
223	481	163
224	482	160
225	484	158
226	486	156
227	487	154
228	489	151
229	491	149
230	492	147
231	494	144
232	498	143
233	502	141
234	506	139
235	508	137
236	512	136
237	514	134
238	517	132
239	520	130
240	521	127
241	523	125
242	525	123
243	527	121
244	529	118
245	531	116
246	534	114
247	535	112
248	537	110
249	539	107
250	541	105
251	543	103
252	545	101
253	546	99
254	548	96
255	550	94
256	552	92
257	554	90
258	556	88
259	558	85
260	560	83
261	561	81
262	563	79
263	565	77
264	566	74
265	569	72
266	570	70
267	572	68
268	574	66
269	576	64
270	578	61
271	580	59
272	581	57
273	583	55
274	585	53
275	586	51
276	588	48
277	590	46
278	591	44
279	593	42
280	595	40
281	596	38
282	598	35
283	599	33
284	601	31
285	603	29
286	606	27
287	610	25
288	613	23
289	616	21
290	618	19
291	620	16
292	622	14
293	624	12
294	626	10
295	627	8
296	629	6
297	631	4
298	635	2
299	638	0
